id,title,author,publisher,category,ean,brand,slug,description,image_url,min_players,max_players,playtime_min,min_age,external_id
113,Каркассон,2,7,14,4622469081572,Magellan,nastolnaya-igra-113,Стратегическая глубина и высокая реиграбельность. Кооперативный режим с нарастающим напряжением. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+113,2,7,60,6,BG00113
114,Пандемия Классика,8,4,7,4621325858662,Crowd Games,nastolnaya-igra-114,Простая механика драфта и сбор сетов. Отличный выбор для компании. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+114,2,5,75,6,BG00114
115,Экипаж Дуэль,21,5,2,4622283228504,Cosmodrome Games,nastolnaya-igra-115,Кооперативный режим с нарастающим напряжением. Подходит для семейных посиделок. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+115,1,6,45,14,BG00115
116,Patchwork Дополнение,18,4,10,4626432514227,Crowd Games,nastolnaya-igra-116,Стратегическая глубина и высокая реиграбельность. Простая механика драфта и сбор сетов. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+116,1,4,30,6,BG00116
117,Немезида Делюкс,10,9,13,4626276134988,Стиль Жизни,nastolnaya-igra-117,Евро-стратегия с управлением ресурсами. Удобные правила и быстрая партия. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+117,2,6,45,6,BG00117
118,Кодовые имена Дополнение,7,8,12,4626932865225,Lifestyle Boardgames,nastolnaya-igra-118,Отличный выбор для компании. Евро-стратегия с управлением ресурсами. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+118,2,6,30,10,BG00118
119,Колонизаторы Делюкс,4,2,14,4621158397550,GaGa Games,nastolnaya-igra-119,Компактная коробка и красивые компоненты. Простая механика драфта и сбор сетов. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+119,2,8,20,14,BG00119
120,Саботёр,11,4,11,4620980817168,Crowd Games,nastolnaya-igra-120,Простая механика драфта и сбор сетов. Подходит для семейных посиделок. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+120,1,7,20,6,BG00120
121,Квест Мастера Путешествие,9,7,8,4621753250571,Magellan,nastolnaya-igra-121,Удобные правила и быстрая партия. Простая механика драфта и сбор сетов. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+121,1,6,75,6,BG00121
122,Экипаж Делюкс,12,3,4,4628226980720,Лавка Игр,nastolnaya-igra-122,Евро-стратегия с управлением ресурсами. Простая механика драфта и сбор сетов. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+122,1,6,30,10,BG00122
123,Кодовые имена Дуэль,25,8,12,4627027105912,Lifestyle Boardgames,nastolnaya-igra-123,Подходит для семейных посиделок. Кооперативный режим с нарастающим напряжением. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+123,1,6,30,12,BG00123
124,Немезида Дополнение,15,4,3,4627256169037,Crowd Games,nastolnaya-igra-124,Евро-стратегия с управлением ресурсами. Простая механика драфта и сбор сетов. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+124,2,4,120,8,BG00124
125,Ticket to Ride Классика,19,1,11,4626942271580,Hobby World,nastolnaya-igra-125,Удобные правила и быстрая партия. Отличный выбор для компании. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+125,2,5,90,10,BG00125
126,Саботёр Путешествие,12,10,1,4627686348880,Настолки.ру,nastolnaya-igra-126,Простая механика драфта и сбор сетов. Компактная коробка и красивые компоненты. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+126,2,4,90,8,BG00126
127,Робинзон Крузо Дополнение,7,3,12,4626325176075,Лавка Игр,nastolnaya-igra-127,Отличный выбор для компании. Евро-стратегия с управлением ресурсами. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+127,2,7,30,14,BG00127
128,Эверделл Дополнение,6,4,2,4623157724177,Crowd Games,nastolnaya-igra-128,Отличный выбор для компании. Евро-стратегия с управлением ресурсами. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+128,1,5,60,6,BG00128
129,Серп Делюкс,14,9,9,4626705261780,Стиль Жизни,nastolnaya-igra-129,Стратегическая глубина и высокая реиграбельность. Отличный выбор для компании. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+129,1,7,20,12,BG00129
130,Королевская дилемма Делюкс,23,4,1,4625548646518,Crowd Games,nastolnaya-igra-130,Отличный выбор для компании. Компактная коробка и красивые компоненты. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+130,2,5,120,6,BG00130
131,Корова 006,15,3,13,4625117794954,Лавка Игр,nastolnaya-igra-131,Простая механика драфта и сбор сетов. Кооперативный режим с нарастающим напряжением. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+131,2,7,150,10,BG00131
132,Thunderstone База,20,3,8,4621830102229,Лавка Игр,nastolnaya-igra-132,Простая механика драфта и сбор сетов. Стратегическая глубина и высокая реиграбельность. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+132,2,4,15,6,BG00132
133,Робинзон Крузо Дополнение,23,3,8,4625961916946,Лавка Игр,nastolnaya-igra-133,Евро-стратегия с управлением ресурсами. Подходит для семейных посиделок. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+133,2,4,60,12,BG00133
134,Kingdomino Классика,18,2,7,4620125540166,GaGa Games,nastolnaya-igra-134,Стратегическая глубина и высокая реиграбельность. Простая механика драфта и сбор сетов. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+134,1,6,20,14,BG00134
135,Зельеварение Путешествие,11,6,1,4624908214138,Zvezda,nastolnaya-igra-135,Кооперативный режим с нарастающим напряжением. Евро-стратегия с управлением ресурсами. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+135,2,6,45,14,BG00135
136,Бэнг! Классика,5,4,5,4629172418718,Crowd Games,nastolnaya-igra-136,Отличный выбор для компании. Простая механика драфта и сбор сетов. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+136,1,5,150,10,BG00136
137,Бэнг!,17,1,14,4624352715458,Hobby World,nastolnaya-igra-137,Компактная коробка и красивые компоненты. Кооперативный режим с нарастающим напряжением. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+137,1,7,20,12,BG00137
138,Бэнг! Делюкс,9,7,3,4624088955005,Magellan,nastolnaya-igra-138,Подходит для семейных посиделок. Кооперативный режим с нарастающим напряжением. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+138,2,4,150,12,BG00138
139,Манчкин Дополнение,24,6,5,4627810913625,Zvezda,nastolnaya-igra-139,Кооперативный режим с нарастающим напряжением. Подходит для семейных посиделок. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+139,2,8,120,14,BG00139
140,Azul Делюкс,3,10,4,4628344832277,Настолки.ру,nastolnaya-igra-140,Отличный выбор для компании. Кооперативный режим с нарастающим напряжением. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+140,1,6,120,14,BG00140
141,Квест Мастера,16,1,14,4622191459861,Hobby World,nastolnaya-igra-141,Отличный выбор для компании. Простая механика драфта и сбор сетов. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+141,1,7,90,10,BG00141
142,Пандемия База,6,5,8,4625544178877,Cosmodrome Games,nastolnaya-igra-142,Компактная коробка и красивые компоненты. Подходит для семейных посиделок. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+142,2,4,15,8,BG00142
143,Имаджинариум База,1,4,4,4625081902973,Crowd Games,nastolnaya-igra-143,Простая механика драфта и сбор сетов. Отличный выбор для компании. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+143,1,4,120,12,BG00143
144,Крылья База,8,6,11,4629099031755,Zvezda,nastolnaya-igra-144,Кооперативный режим с нарастающим напряжением. Стратегическая глубина и высокая реиграбельность. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+144,1,8,120,8,BG00144
145,Робинзон Крузо Дуэль,17,4,12,4627374380086,Crowd Games,nastolnaya-igra-145,Подходит для семейных посиделок. Компактная коробка и красивые компоненты. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+145,1,6,15,6,BG00145
146,Кодовые имена Классика,1,4,4,4621904390675,Crowd Games,nastolnaya-igra-146,Удобные правила и быстрая партия. Евро-стратегия с управлением ресурсами. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+146,1,5,20,6,BG00146
147,Королевская дилемма,8,1,8,4625777125273,Hobby World,nastolnaya-igra-147,Стратегическая глубина и высокая реиграбельность. Компактная коробка и красивые компоненты. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+147,1,5,30,6,BG00147
148,Сплэндер Делюкс,20,5,3,4624622706308,Cosmodrome Games,nastolnaya-igra-148,Удобные правила и быстрая партия. Стратегическая глубина и высокая реиграбельность. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+148,2,7,30,6,BG00148
149,Эверделл,6,7,4,4624261659881,Magellan,nastolnaya-igra-149,Компактная коробка и красивые компоненты. Подходит для семейных посиделок. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+149,2,8,20,10,BG00149
150,Манчкин Классика,2,7,2,4621150387887,Magellan,nastolnaya-igra-150,Компактная коробка и красивые компоненты. Удобные правила и быстрая партия. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+150,2,8,60,6,BG00150
